SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O
WG0032,mid_gw,7/19/19 15:33,19.6,55.04,96.7,5.89,,,438.4,21.94,0,10.44,0,0.09,0.2,0,0.7,1.1,0.05,,0.12,,0,0,6.45,0,0,0,0,0.84,,,,-114.476,-15.578
WG0033,Tundra,7/19/19 16:38,14.1,15.97,91.5,5.65,,,140.91,7.05,0,2.61,0.01,0.04,0.08,0,0.75,0.59,0.02,,0.12,,0.01,0,1.07,0,0,0,0,0.82,,,,-116.56,-16.031
WG0034,glacier_hut,7/19/19 20:27,0.2,12.62,90.9,5.49,,,94.7,4.74,0.06,2.02,0.05,0.09,0.11,0,0.59,0.28,0.01,,0.18,,0.01,0,1.43,0,0.01,0,0,0.61,,,,-124.407,-16.686
WG0035,glacier_hut,7/20/19 9:15,0.2,13.09,90.8,5.49,,,98.43,4.93,0.03,2.18,0.03,0.09,0.12,0,0.56,0.25,0.01,,0.19,,0.01,0.01,1.54,0,0.01,0,0,0.61,,,,-102.438,-12.921
WG0036,Nellie_Juan,8/27/19 15:00,,34.66,,5.7,,,248.95,12.46,0.06,6.22,0.06,0.27,0.38,0.01,0.79,0.47,0.04,,0.39,,0.01,0,5.26,0,0.01,0,0.08,1.32,,,,-115.06,-15.724
WG0037,shrub_creek,8/27/19 16:00,,63.7,,5.91,,,566.82,28.37,0,13.06,0.01,0.14,0.3,0,1.04,1.03,0.07,,0.11,,0.02,0,6.24,0,0.02,0,0.03,1.03,,,,,
WG0038,Tundra,8/27/19 17:00,,27.01,,5.76,,,235.81,11.8,0,4.84,0,0.09,0.14,0,0.83,0.82,0.03,,0.12,,0,0.05,3.18,0,0.01,0.04,0,0.84,,,,-97.299,-9.426
WG0039,Tundra,9/5/19 13:10,11,67.8,93.2,5.92,,,586.82,29.37,0,13.68,0,0.11,0.32,0,1.03,0.77,0.07,,0.35,,0.04,0.02,6.23,0,0.02,0.02,0.01,1.22,1.39,0.78,,,
WG0040,Nellie_Juan,9/5/19 14:00,6.6,41.82,108,5.78,,,282.16,14.12,0.02,7.29,0.03,0.21,0.44,0,0.89,0.37,0.04,,0.32,,0.02,0.02,5.85,0,0.02,0.04,0,0.84,1.24,0.39,,-115.452,-15.943
WG0041,glacier_hut,9/5/19 17:20,,17.82,,5.54,,,101.37,5.07,0,2.51,0,0.08,0.14,0,0.47,0.11,0.01,,0.13,,0.01,0.02,2.44,0,0.01,0.02,0,0.82,1.41,0.17,,-122.653,-16.577
WG0042,glacier_hut,9/6/19 9:15,0.2,17.79,,5.51,,,117.56,5.88,0,2.6,0,0.05,0.15,0,0.42,0.09,0.01,,0.17,,0.01,0.01,2.66,0,0,0.01,0,0.87,1.7,0.03,,-122.395,-16.898
WG0043,Tundra,9/6/19 11:25,9.4,25.04,,5.65,,,218.14,10.92,0,4.72,0,0.06,0.14,0,0.75,0.48,0.03,,0.18,,0.01,0.01,2.06,0,0.01,0.05,0,0.95,1.34,0.47,,-112.186,-15.061
WG0044,mid_gw,9/6/19 13:30,16.1,70.2,15.7,5.86,,,556.78,27.86,0,14.78,0,0.13,0.29,0,0.88,0.73,0.08,,0.21,,0,0.01,9.09,0,0,0.01,0,0.98,1.38,0.11,,-108.81,-14.493
WG0045,terminus_gw,9/6/19 14:15,12.5,195.23,44.8,6.08,,,1236.47,61.88,0,41.47,0,0.48,1.03,0,2.85,1.15,0.43,,0.27,,0.02,0.02,45.19,0,0.01,0.01,0,2.63,1.52,0.59,,-95.861,-12.177
WG0046,supraglacial,9/6/19 15:15,0.3,3.81,,5.78,,,19.53,0.98,0,0.04,0.01,0.03,0,0,0.33,0.05,0,,0.08,,0,0.03,0.07,0,0,0.02,0,0.98,1.57,0.2,,-117.66,-16.101
