ISO 8601 UTC,Timestamp (UTC-09:00),Value
2022-09-23T17:00:00Z,9/23/22 8:00,1.645829328
2022-09-23T17:15:00Z,9/23/22 8:15,1.652083833
2022-09-23T17:30:00Z,9/23/22 8:30,1.658000944
2022-09-23T17:45:00Z,9/23/22 8:45,1.656580956
2022-09-23T18:00:00Z,9/23/22 9:00,1.656013028
2022-09-23T18:15:00Z,9/23/22 9:15,1.651176141
2022-09-23T18:30:00Z,9/23/22 9:30,1.563986753
2022-09-23T18:45:00Z,9/23/22 9:45,1.563111579
2022-09-23T19:00:00Z,9/23/22 10:00,1.564889388
2022-09-23T19:15:00Z,9/23/22 10:15,1.480430374
2022-09-23T19:30:00Z,9/23/22 10:30,1.47829367
2022-09-23T19:45:00Z,9/23/22 10:45,1.477793833
2022-09-23T20:00:00Z,9/23/22 11:00,1.474353505
2022-09-23T20:15:00Z,9/23/22 11:15,1.472660637
2022-09-23T20:30:00Z,9/23/22 11:30,1.469990437
2022-09-23T20:45:00Z,9/23/22 11:45,1.4691705
2022-09-23T21:00:00Z,9/23/22 12:00,1.469218964
2022-09-23T21:15:00Z,9/23/22 12:15,1.467098464
2022-09-23T21:30:00Z,9/23/22 12:30,1.384090192
2022-09-23T21:45:00Z,9/23/22 12:45,1.382400943
2022-09-23T22:00:00Z,9/23/22 13:00,1.382857839
2022-09-23T22:15:00Z,9/23/22 13:15,1.383314884
2022-09-23T22:30:00Z,9/23/22 13:30,1.386534793
2022-09-23T22:45:00Z,9/23/22 13:45,1.389454034
2022-09-23T23:00:00Z,9/23/22 14:00,1.303191134
2022-09-23T23:15:00Z,9/23/22 14:15,1.312030267
2022-09-23T23:30:00Z,9/23/22 14:30,1.225649575
2022-09-23T23:45:00Z,9/23/22 14:45,1.220999564
2022-09-24T00:00:00Z,9/23/22 15:00,1.218614433
2022-09-24T00:15:00Z,9/23/22 15:15,1.230149818
2022-09-24T00:30:00Z,9/23/22 15:30,1.14148786
2022-09-24T00:45:00Z,9/23/22 15:45,1.138168947
2022-09-24T01:00:00Z,9/23/22 16:00,1.13821767
2022-09-24T01:15:00Z,9/23/22 16:15,1.138602753
2022-09-24T01:30:00Z,9/23/22 16:30,1.136298971
2022-09-24T01:45:00Z,9/23/22 16:45,1.135340835
2022-09-24T02:00:00Z,9/23/22 17:00,1.136479244
2022-09-24T02:15:00Z,9/23/22 17:15,1.049207404
2022-09-24T02:30:00Z,9/23/22 17:30,1.047784256
2022-09-24T02:45:00Z,9/23/22 17:45,1.048142364
2022-09-24T03:00:00Z,9/23/22 18:00,1.047262187
2022-09-24T03:15:00Z,9/23/22 18:15,1.048239341
2022-09-24T03:30:00Z,9/23/22 18:30,1.04828783
2022-09-24T03:45:00Z,9/23/22 18:45,1.048104545
2022-09-24T04:00:00Z,9/23/22 19:00,1.047843389
2022-09-24T04:15:00Z,9/23/22 19:15,1.132142061
2022-09-24T04:30:00Z,9/23/22 19:30,1.044927087
2022-09-24T04:45:00Z,9/23/22 19:45,1.044666719
2022-09-24T05:00:00Z,9/23/22 20:00,1.04502374
2022-09-24T05:15:00Z,9/23/22 20:15,1.043916697
2022-09-24T05:30:00Z,9/23/22 20:30,1.043964971
2022-09-24T05:45:00Z,9/23/22 20:45,1.044013245
2022-09-24T06:00:00Z,9/23/22 21:00,1.044061519
2022-09-24T06:15:00Z,9/23/22 21:15,1.045653342
2022-09-24T06:30:00Z,9/23/22 21:30,1.042388266
