datetime,shrub,forest,tundra,nellie,glacier,gage
2021-01-04T00:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T01:00:00Z,1.064108571,NA,NA,3.672352546,NA,NA
2021-01-04T01:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T01:30:00Z,1.056494662,NA,NA,3.648408622,NA,NA
2021-01-04T01:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T02:00:00Z,1.048909373,NA,NA,3.63240683,NA,NA
2021-01-04T02:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T02:30:00Z,1.065005047,NA,NA,3.584430132,NA,NA
2021-01-04T02:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T03:00:00Z,1.04944308,NA,NA,3.592431092,NA,NA
2021-01-04T03:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T03:30:00Z,1.057553156,NA,NA,3.584458811,NA,NA
2021-01-04T03:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T04:00:00Z,1.05741022,NA,NA,3.576429172,NA,NA
2021-01-04T04:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T04:30:00Z,1.057368187,NA,NA,3.552426291,NA,NA
2021-01-04T04:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T05:00:00Z,1.049342968,NA,NA,3.552341025,NA,NA
2021-01-04T05:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T05:30:00Z,1.048859365,NA,NA,3.544425331,NA,NA
2021-01-04T05:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T06:00:00Z,1.056150688,NA,NA,3.512477697,NA,NA
2021-01-04T06:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T06:30:00Z,1.04779368,NA,NA,3.488558169,NA,NA
2021-01-04T06:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T07:00:00Z,1.048184735,NA,NA,3.504588771,NA,NA
2021-01-04T07:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T07:30:00Z,1.048401188,NA,NA,3.456608363,NA,NA
2021-01-04T07:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T08:00:00Z,1.032959349,NA,NA,3.456608363,NA,NA
2021-01-04T08:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T08:30:00Z,1.04882603,NA,NA,3.41662866,NA,NA
2021-01-04T08:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T09:00:00Z,1.03311532,NA,NA,3.440688138,NA,NA
2021-01-04T09:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T09:30:00Z,1.056990042,NA,NA,3.42471234,NA,NA
2021-01-04T09:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T10:00:00Z,1.041211302,NA,NA,3.424739744,NA,NA
2021-01-04T10:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T10:30:00Z,1.057300941,NA,NA,3.360752809,NA,NA
2021-01-04T10:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T11:00:00Z,1.034117937,NA,NA,3.416820037,NA,NA
2021-01-04T11:15:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T11:30:00Z,1.042321433,NA,NA,3.38483944,NA,NA
2021-01-04T11:45:00Z,NA,NA,NA,NA,NA,NA
2021-01-04T12:00:00Z,1.034768212,NA,NA,3.368862429,NA,NA
