"","datetime","forest","shrub","tundra","nellie","gage"
"157",2022-01-02 15:00:00,17.33449967,6.180360721,NA,NA,2.48
"158",2022-01-02 15:15:00,17.43672867,6.156460676,NA,NA,NA
"159",2022-01-02 15:30:00,17.46826505,6.164526317,NA,NA,NA
"160",2022-01-02 15:45:00,17.36632185,6.156510028,NA,NA,NA
"161",2022-01-02 16:00:00,17.50866607,6.172592088,NA,NA,NA
"162",2022-01-02 16:15:00,17.39535108,6.140526674,NA,NA,NA
"163",2022-01-02 16:30:00,17.30889599,6.124395777,NA,NA,NA
"164",2022-01-02 16:45:00,17.40281622,6.140379004,NA,NA,NA
"165",2022-01-02 17:00:00,17.36172398,6.164180421,NA,NA,NA
"166",2022-01-02 17:15:00,17.33988092,6.172146785,NA,NA,NA
"167",2022-01-02 17:30:00,17.41028089,6.148198025,NA,NA,NA
"168",2022-01-02 17:45:00,17.37749109,6.156312625,NA,NA,NA
"169",2022-01-02 18:00:00,17.24373119,6.148395165,NA,NA,NA
"170",2022-01-02 18:15:00,17.37002567,6.140428227,NA,NA,NA
"171",2022-01-02 18:30:00,17.3453997,6.164526317,NA,NA,NA
"172",2022-01-02 18:45:00,17.20361083,6.148444452,NA,NA,NA
"173",2022-01-02 19:00:00,17.36974696,6.116330522,NA,NA,NA
"174",2022-01-02 19:15:00,17.29670753,6.132412002,NA,NA,NA
"175",2022-01-02 19:30:00,17.21896815,6.124346683,NA,NA,NA
"176",2022-01-02 19:45:00,17.25673301,6.116330522,NA,NA,NA
"177",2022-01-02 20:00:00,17.23183558,6.132362843,NA,NA,NA
"178",2022-01-02 20:15:00,17.14592895,6.132362843,NA,NA,NA
"179",2022-01-02 20:30:00,17.15175047,6.108020585,NA,NA,NA
"180",2022-01-02 20:45:00,17.23114441,6.115595168,NA,NA,NA
"181",2022-01-02 21:00:00,17.10553764,6.123561284,NA,NA,NA
"182",2022-01-02 21:15:00,17.18301272,6.131674709,NA,NA,NA
"183",2022-01-02 21:30:00,17.23944295,6.123855785,NA,NA,NA
"184",2022-01-02 21:45:00,17.16917251,6.13206791,NA,NA,NA
"185",2022-01-02 22:00:00,17.23888978,6.092135534,NA,NA,NA
